"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"62",2018 Q2,"RGR","pre-covid",4813,12455,49443,11324,21125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5065,349.130434782609,446.282608695652,0,0,0,0,0,0,2020,217218,2018,17268,"0_yrs"
"63",2018 Q2,"RGT","pre-covid",8898,26271,99821,23308,41637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5066,914.695652173913,1000.28260869565,0,0,0,0,0,0,2020,658972,2018,35169,"0_yrs"
"64",2018 Q2,"RH8","pre-covid",7915,15490,95542,24243,41114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5157,692.619565217391,822.141304347826,0,0,0,0,0,0,2020,457186,2018,23405,"0_yrs"
"65",2018 Q2,"RHM","pre-covid",8638,23433,95607,16595,34406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5172,1013.78260869565,1169,0,0,0,0,0,0,2020,739911,2018,32071,"0_yrs"
"66",2018 Q2,"RHQ","pre-covid",11222,41925,136088,20515,64341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5007,1395.25,1528.65217391304,0,0,0,0,0,0,2020,753182,2018,53147,"0_yrs"
"67",2018 Q2,"RHU","pre-covid",7333,28306,101346,23851,41342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5173,966.347826086957,1004.15217391304,0,0,0,0,0,0,2020,568594,2018,35639,"0_yrs"
"68",2018 Q2,"RHW","pre-covid",5071,18284,96429,13847,33258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5174,511.913043478261,644.358695652174,0,0,0,0,0,0,2020,445712,2018,23355,"0_yrs"
"69",2018 Q2,"RJ1","pre-covid",13968,62070,200366,35365,90805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5120,909.45652173913,1138.91304347826,0,0,0,0,0,0,2020,1382186,2018,76038,"0_yrs"
"70",2018 Q2,"RJ2","pre-covid",5502,23331,121492,17633,41076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5121,871.45652173913,934.413043478261,0,0,0,0,0,0,2020,366475,2018,28833,"0_yrs"
"71",2018 Q2,"RJ6","pre-covid",2143,12728,65818,7108,23310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5122,468.413043478261,514.445652173913,0,0,0,0,0,0,2020,237212,2018,14871,"0_yrs"
"72",2018 Q2,"RJC","pre-covid",3472,12081,51046,7013,19016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5068,413.434782608696,483.717391304348,0,0,0,0,0,0,2020,238044,2018,15553,"0_yrs"
"73",2018 Q2,"RJE","pre-covid",8021,33241,144406,17795,45408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5069,1242.64130434783,1398,0,0,0,0,0,0,2020,632952,2018,41262,"0_yrs"
"74",2018 Q2,"RJF","pre-covid",4354,9231,55926,7662,22940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,13585,"0_yrs"
