,cal_quarter,PROCODE,standard_los
523,Q1   2022,RHQ,7.473715672
524,Q1   2022,RHU,6.479453692
525,Q1   2022,RHW,5.824831408
526,Q1   2022,RJ1,6.404924533
527,Q1   2022,RJ2,7.586903866
528,Q1   2022,RJ6,11.5997003
529,Q1   2022,RJ7,8.394649713
530,Q1   2022,RJC,6.737196093
531,Q1   2022,RJE,6.894895467
532,Q1   2022,RJL,6.41529231
533,Q1   2022,RJN,10.12516543
534,Q1   2022,RJR,8.874626078
535,Q1   2022,RJZ,8.409314181
536,Q1   2022,RK5,7.008111617
537,Q1   2022,RK9,9.221415922
538,Q1   2022,RKB,6.719612629
539,Q1   2022,RKE,7.78612026
540,Q1   2022,RL4,7.109715471
541,Q1   2022,RLQ,7.481646736
542,Q1   2022,RLT,7.776011727
543,Q1   2022,RM1,7.36033679
544,Q1   2022,RM3,7.908345593
545,Q1   2022,RMC,7.009712401
546,Q1   2022,RMP,7.479826523
547,Q1   2022,RN3,6.736441793
548,Q1   2022,RN5,6.29207183
549,Q1   2022,RN7,7.038137032
550,Q1   2022,RNA,7.194828887
551,Q1   2022,RNN,8.318174019
552,Q1   2022,RNQ,8.18639461
553,Q1   2022,RNS,7.47139325
554,Q1   2022,RNZ,8.246291376
555,Q1   2022,RP5,7.298150729
556,Q1   2022,RPA,7.171117685
557,Q1   2022,RQM,6.305635786
558,Q1   2022,RQW,7.406420254
559,Q1   2022,RQX,6.19565758
560,Q1   2022,RR7,7.984578494
561,Q1   2022,RR8,7.969884645
562,Q1   2022,RRF,6.376416312
563,Q1   2022,RRK,6.768099377
564,Q1   2022,RRV,8.519543956
565,Q1   2022,RTD,6.361305697
566,Q1   2022,RTE,7.378097564
567,Q1   2022,RTF,5.980536845
568,Q1   2022,RTG,6.818851721
569,Q1   2022,RTH,6.523028627
570,Q1   2022,RTK,6.755598946
571,Q1   2022,RTP,7.452722907
572,Q1   2022,RTR,6.82183304
573,Q1   2022,RTX,8.076177045
574,Q1   2022,RVJ,7.255448836
575,Q1   2022,RVR,6.785948259
576,Q1   2022,RVV,6.817630371
577,Q1   2022,RVW,5.356356182
578,Q1   2022,RVY,7.180577404
579,Q1   2022,RWA,7.406808577
580,Q1   2022,RWD,7.622594743
581,Q1   2022,RWE,6.85303074
582,Q1   2022,RWF,6.292651569
583,Q1   2022,RWG,6.669541507
584,Q1   2022,RWH,6.340793912
585,Q1   2022,RWJ,7.338560801
586,Q1   2022,RWP,5.711881579
587,Q1   2022,RWW,7.325778157
588,Q1   2022,RWY,6.076434808
589,Q1   2022,RX1,6.96265472
590,Q1   2022,RXC,7.664571138
591,Q1   2022,RXF,6.390023531
